Date : 2022-02-06 16:52:32
Directory : z:\Programming\Yadesh\yadesh
Total : 353 files,  46091 codes, 806 comments, 899 blanks, all 47796 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| z:\Programming\Yadesh\yadesh\src\Components\HomePageLoggedIn\TodayMostViewLessons.js                     | JavaScript |        126 |          0 |          4 |        130 |
| z:\Programming\Yadesh\yadesh\src\Components\HomePageLoggedIn\TodaySpecialCourses.js                      | JavaScript |        108 |          0 |          3 |        111 |
| z:\Programming\Yadesh\yadesh\src\Components\HomePageNotLogin\AboutYadesh.js                              | JavaScript |         47 |          0 |          2 |         49 |
| z:\Programming\Yadesh\yadesh\src\Components\HomePageNotLogin\CustomerYadesh.js                           | JavaScript |         42 |          0 |          3 |         45 |
| z:\Programming\Yadesh\yadesh\src\Components\HomePageNotLogin\HeaderHomeNotLogin.js                       | JavaScript |         90 |          0 |          5 |         95 |
| z:\Programming\Yadesh\yadesh\src\Components\HomePageNotLogin\PelaneSazmani.js                            | JavaScript |         41 |          0 |          3 |         44 |
| z:\Programming\Yadesh\yadesh\src\Components\HomePageNotLogin\PopularCourses.js                           | JavaScript |        106 |          0 |          8 |        114 |
| z:\Programming\Yadesh\yadesh\src\Components\Menu.js                                                      | JavaScript |        142 |          0 |          2 |        144 |
| z:\Programming\Yadesh\yadesh\src\Components\Modals\AddCategorie.js                                       | JavaScript |         37 |          0 |          0 |         37 |
| z:\Programming\Yadesh\yadesh\src\Components\Modals\AddCompany.js                                         | JavaScript |         86 |          0 |          4 |         90 |
| z:\Programming\Yadesh\yadesh\src\Components\Modals\AddCourse.js                                          | JavaScript |        123 |          0 |          1 |        124 |
| z:\Programming\Yadesh\yadesh\src\Components\Modals\AddEpisode.js                                         | JavaScript |        110 |          0 |          5 |        115 |
| z:\Programming\Yadesh\yadesh\src\Components\Modals\AddNewUser.js                                         | JavaScript |         84 |          0 |          3 |         87 |
| z:\Programming\Yadesh\yadesh\src\Components\Modals\AddUser.js                                            | JavaScript |         72 |          0 |          0 |         72 |
| z:\Programming\Yadesh\yadesh\src\Components\Modals\ConfirmCourse.js                                      | JavaScript |         22 |          0 |          0 |         22 |
| z:\Programming\Yadesh\yadesh\src\Components\Modals\ConfirmEpisode.js                                     | JavaScript |         22 |          0 |          0 |         22 |
| z:\Programming\Yadesh\yadesh\src\Components\Modals\EditSubscription.js                                   | JavaScript |         75 |          0 |          4 |         79 |
| z:\Programming\Yadesh\yadesh\src\Components\Modals\LogOut.js                                             | JavaScript |         20 |          0 |          0 |         20 |
| z:\Programming\Yadesh\yadesh\src\Components\MostView.js                                                  | JavaScript |        143 |          0 |          2 |        145 |
| z:\Programming\Yadesh\yadesh\src\Components\MyProgress\DoneCourses.js                                    | JavaScript |        186 |          0 |         10 |        196 |
| z:\Programming\Yadesh\yadesh\src\Components\MyProgress\KeepLearning.js                                   | JavaScript |        265 |          0 |          4 |        269 |
| z:\Programming\Yadesh\yadesh\src\Components\MyProgress\MyList.js                                         | JavaScript |        120 |          0 |          4 |        124 |
| z:\Programming\Yadesh\yadesh\src\Components\MyProgress\MyNotes.js                                        | JavaScript |        167 |          0 |         10 |        177 |
| z:\Programming\Yadesh\yadesh\src\Components\MyProgress\SeenBefore.js                                     | JavaScript |        108 |          0 |          5 |        113 |
| z:\Programming\Yadesh\yadesh\src\Components\MyProgress\YourProgressInYadesh.js                           | JavaScript |         65 |          0 |          4 |         69 |
| z:\Programming\Yadesh\yadesh\src\Components\Navbar.js                                                    | JavaScript |         66 |          0 |          3 |         69 |
| z:\Programming\Yadesh\yadesh\src\Components\NotSignIn\AboutYadesh.js                                     | JavaScript |        123 |         24 |          3 |        150 |
| z:\Programming\Yadesh\yadesh\src\Components\NotSignIn\CostomerYadesh.js                                  | JavaScript |        124 |         30 |          9 |        163 |
| z:\Programming\Yadesh\yadesh\src\Components\NotSignIn\Hero.js                                            | JavaScript |        230 |        176 |         14 |        420 |
| z:\Programming\Yadesh\yadesh\src\Components\NotSignIn\MostViewedEpisodes.js                              | JavaScript |         58 |          0 |          6 |         64 |
| z:\Programming\Yadesh\yadesh\src\Components\NotSignIn\PanelSazmani.js                                    | JavaScript |        103 |         24 |          5 |        132 |
| z:\Programming\Yadesh\yadesh\src\Components\NotSignIn\PopularCourses.js                                  | JavaScript |         58 |          0 |          5 |         63 |
| z:\Programming\Yadesh\yadesh\src\Components\PlayerCourse\HeaderPlayerCourse.js                           | JavaScript |        225 |          0 |          4 |        229 |
| z:\Programming\Yadesh\yadesh\src\Components\PlayerEpisode\Header.js                                      | JavaScript |        219 |          0 |          4 |        223 |
| z:\Programming\Yadesh\yadesh\src\Components\PlayerEpisode\SliderPlayerEpisode.js                         | JavaScript |        122 |          0 |          3 |        125 |
| z:\Programming\Yadesh\yadesh\src\Components\RequireAuth\index.js                                         | JavaScript |          3 |          0 |          1 |          4 |
| z:\Programming\Yadesh\yadesh\src\Components\SettingsModal\Account.js                                     | JavaScript |        118 |          0 |          5 |        123 |
| z:\Programming\Yadesh\yadesh\src\Components\SettingsModal\Notifications.js                               | JavaScript |         42 |          0 |          2 |         44 |
| z:\Programming\Yadesh\yadesh\src\Components\SettingsModal\Protection.js                                  | JavaScript |         44 |          0 |          0 |         44 |
| z:\Programming\Yadesh\yadesh\src\Components\SettingsModal\Settings.js                                    | JavaScript |         53 |          0 |          5 |         58 |
| z:\Programming\Yadesh\yadesh\src\Components\SignUpForBusiness\HeaderSignUpForBusiness.js                 | JavaScript |        153 |          0 |          3 |        156 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagMentAboutYadesh.js\ContactYadesh.js                 | JavaScript |        175 |          0 |         11 |        186 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagMentAboutYadesh.js\HeroAboutYadesh.js               | JavaScript |        142 |         15 |          5 |        162 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagMentAboutYadesh.js\MissionYadesh.js                 | JavaScript |         89 |          0 |          6 |         95 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagMentAboutYadesh.js\Support.js                       | JavaScript |         87 |          0 |          5 |         92 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagMentAboutYadesh.js\VsionYadesh.js                   | JavaScript |         87 |          0 |          5 |         92 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagMentAboutYadesh.js\YadeshIdentify.js                | JavaScript |         87 |          0 |          5 |         92 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentContactWithYadesh\ContactForm.js                | JavaScript |        230 |          0 |         13 |        243 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentContactWithYadesh\Title.js                      | JavaScript |         64 |          0 |          6 |         70 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentContactWithYadesh\WhyYadesh.js                  | JavaScript |        228 |          0 |         13 |        241 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentCourses\LessonCourses.js                        | JavaScript |         34 |          0 |          2 |         36 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentLogin\SliderSiteManagment.js                    | JavaScript |        110 |         99 |          8 |        217 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentPishrafteMan(myProgress)\CompletedCourse.js     | JavaScript |         85 |          0 |          6 |         91 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentPishrafteMan(myProgress)\KeepLearning.js        | JavaScript |         86 |          0 |          6 |         92 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentPishrafteMan(myProgress)\MyList.js              | JavaScript |         85 |          0 |          6 |         91 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentPishrafteMan(myProgress)\MyNotes.js             | JavaScript |         85 |          0 |          6 |         91 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentPishrafteMan(myProgress)\YouHaveSeenItBefore.js | JavaScript |         85 |          0 |          5 |         90 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentPishrafteMan(myProgress)\YourProgres.js         | JavaScript |        109 |          0 |          7 |        116 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentPlayerCourse\MyNotes.js                         | JavaScript |         20 |          0 |          4 |         24 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentPlayerCourse\RelateEpisode.js                   | JavaScript |         61 |          0 |          4 |         65 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentPlayerCourse\Tags.js                            | JavaScript |         20 |          0 |          5 |         25 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentUserProfile\FaivoriteEpisode.js                 | JavaScript |         89 |          0 |          5 |         94 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentUserProfile\HeroUserProfile.js                  | JavaScript |         87 |         89 |          5 |        181 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentUserProfile\YourCourses.js                      | JavaScript |         89 |          0 |          5 |         94 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentYadeshForSazman\Costomers.js                    | JavaScript |        229 |         52 |          6 |        287 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentYadeshForSazman\FrequentlyAskedQuestions.js     | JavaScript |        156 |          0 |          9 |        165 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentYadeshForSazman\HeroYadeshForSazman.js          | JavaScript |        128 |         26 |          6 |        160 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentYadeshForSazman\JoinToYadesh.js                 | JavaScript |        131 |         23 |          7 |        161 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentYadeshForSazman\Teachers.js                     | JavaScript |         65 |          0 |          7 |         72 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagmentYadeshForSazman\WhyYadesh.js                    | JavaScript |        159 |        187 |         12 |        358 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagment\AboutYadesh.js                                 | JavaScript |         81 |          0 |          2 |         83 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagment\ContactWithYadesh.js                           | JavaScript |         33 |          0 |          2 |         35 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagment\Course.js                                      | JavaScript |         21 |          0 |          1 |         22 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagment\Episode.js                                     | JavaScript |         30 |          0 |          3 |         33 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagment\Footer.js                                      | JavaScript |         39 |          0 |          3 |         42 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagment\Login.js                                       | JavaScript |         23 |          0 |          4 |         27 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagment\NotSignIn.js                                   | JavaScript |         46 |          0 |          3 |         49 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagment\PishrafteMan.js                                | JavaScript |         47 |          0 |          3 |         50 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagment\PlayerCourse.js                                | JavaScript |         30 |          0 |          3 |         33 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagment\SignIn.js                                      | JavaScript |         68 |          0 |          3 |         71 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagment\UserProfile.js                                 | JavaScript |         31 |          0 |          3 |         34 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManagment\YadeshForSazman.js                             | JavaScript |         81 |          0 |          3 |         84 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManegMentPlayerEpisode\MyNotes.js                        | JavaScript |         20 |          0 |          4 |         24 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManegMentPlayerEpisode\RelateEpisode.js                  | JavaScript |         61 |          0 |          4 |         65 |
| z:\Programming\Yadesh\yadesh\src\Components\SiteManegMentPlayerEpisode\Tags.js                           | JavaScript |         20 |          0 |          4 |         24 |
| z:\Programming\Yadesh\yadesh\src\Components\StateManagmentSignIn\HeroSighin.js                           | JavaScript |         65 |          0 |          8 |         73 |
| z:\Programming\Yadesh\yadesh\src\Components\StateManagmentSignIn\KeepLearning.js                         | JavaScript |         85 |          0 |          6 |         91 |
| z:\Programming\Yadesh\yadesh\src\Components\StateManagmentSignIn\MostViewLesson.js                       | JavaScript |         66 |          0 |          7 |         73 |
| z:\Programming\Yadesh\yadesh\src\Components\StateManagmentSignIn\SelfManagMent.js                        | JavaScript |         67 |          0 |          5 |         72 |
| z:\Programming\Yadesh\yadesh\src\Components\TicketsCompany\CompanyComent.js                              | JavaScript |        104 |         15 |          7 |        126 |
| z:\Programming\Yadesh\yadesh\src\Components\TicketsCompany\Header.js                                     | JavaScript |         47 |          0 |          1 |         48 |
| z:\Programming\Yadesh\yadesh\src\Components\TicketsCompany\MainSection.js                                | JavaScript |         21 |          0 |          2 |         23 |
| z:\Programming\Yadesh\yadesh\src\Components\TicketsCompany\UserComent.js                                 | JavaScript |        102 |          1 |          7 |        110 |
| z:\Programming\Yadesh\yadesh\src\Components\UserProfile\EditProfileModal.js                              | JavaScript |         87 |          0 |          3 |         90 |
| z:\Programming\Yadesh\yadesh\src\Components\UserProfile\FavoriteEpisodes.js                              | JavaScript |        374 |          0 |          3 |        377 |
| z:\Programming\Yadesh\yadesh\src\Components\UserProfile\UserCourses.js                                   | JavaScript |        265 |          0 |          4 |        269 |
| z:\Programming\Yadesh\yadesh\src\Components\UserProfile\UserInfo.js                                      | JavaScript |         94 |          0 |          3 |         97 |
| z:\Programming\Yadesh\yadesh\src\Components\YadgiriDarSatheJahani\CommentCustomer.js                     | JavaScript |         65 |          0 |          1 |         66 |
| z:\Programming\Yadesh\yadesh\src\Components\YadgiriDarSatheJahani\EndSection.js                          | JavaScript |         35 |          0 |          3 |         38 |
| z:\Programming\Yadesh\yadesh\src\Components\YadgiriDarSatheJahani\Header.js                              | JavaScript |        151 |          0 |          5 |        156 |
| z:\Programming\Yadesh\yadesh\src\Components\YadgiriDarSatheJahani\QuestionFromYadesh.js                  | JavaScript |         80 |          0 |          3 |         83 |
| z:\Programming\Yadesh\yadesh\src\Components\YadgiriDarSatheJahani\YouAsk.js                              | JavaScript |        101 |          0 |          5 |        106 |
| z:\Programming\Yadesh\yadesh\src\Context\Context.js                                                      | JavaScript |        415 |          0 |          8 |        423 |
| z:\Programming\Yadesh\yadesh\src\Css\CustomerYadesh.css                                                  | CSS        |        185 |          4 |         29 |        218 |
| z:\Programming\Yadesh\yadesh\src\Css\PopularCourses.css                                                  | CSS        |         65 |          0 |          3 |         68 |
| z:\Programming\Yadesh\yadesh\src\Css\TodaySpecialCoursesSlick.css                                        | CSS        |        181 |          4 |         30 |        215 |
| z:\Programming\Yadesh\yadesh\src\Css\modal.css                                                           | CSS        |          3 |          0 |          1 |          4 |
| z:\Programming\Yadesh\yadesh\src\Pages\AboutUs.js                                                        | JavaScript |         15 |          0 |          1 |         16 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\AdminDashboardLayout.js                            | JavaScript |         13 |          0 |          2 |         15 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\AdminLogin.js                                      | JavaScript |         74 |          0 |          3 |         77 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\AdminPanel.js                                      | JavaScript |         78 |          0 |          4 |         82 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\AdminPanelCompany.js                               | JavaScript |         13 |          0 |          2 |         15 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\AdminPanelCourses.js                               | JavaScript |         13 |          0 |          0 |         13 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\AdminPanelEpisode.js                               | JavaScript |         13 |          0 |          1 |         14 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\AdminPanelFactor.js                                | JavaScript |         13 |          0 |          0 |         13 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\AdminPanelSubscription.js                          | JavaScript |         13 |          0 |          0 |         13 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\AdminPanelUser.js                                  | JavaScript |         13 |          0 |          0 |         13 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\AminPanelCompany.js                                | JavaScript |         13 |          1 |          0 |         14 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\ChangPassword.js                                   | JavaScript |         64 |          0 |          4 |         68 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\EnterCode.js                                       | JavaScript |        137 |          0 |          5 |        142 |
| z:\Programming\Yadesh\yadesh\src\Pages\AdminDashboard\FailureModal.js                                    | JavaScript |         29 |          0 |          1 |         30 |
